"","LRScore","ligpair","recpair","allpair","type_gene_A","type_gene_B","gene_A","gene_B","source","target","cellpair","interaction_type"
"2959",-0.11627535,"Endocrine cell/ADAM17|L","Endothelial cell/ITGB1|R","Endocrine cell/ADAM17|L@Endothelial cell/ITGB1|R","Ligand","Receptor","ADAM17|L","ITGB1|R","Endocrine cell","Endothelial cell","Endocrine cell@Endothelial cell","LR"
"2960",-0.11624563,"Fibroblast cell/LAMC1|L","Ductal cell type 1/ITGB8|R","Fibroblast cell/LAMC1|L@Ductal cell type 1/ITGB8|R","Ligand","Receptor","LAMC1|L","ITGB8|R","Fibroblast cell","Ductal cell type 1","Fibroblast cell@Ductal cell type 1","LR"
"2961",-0.11624004,"Stellate cell/COL1A1|L","Ductal cell type 2/ITGA1|R","Stellate cell/COL1A1|L@Ductal cell type 2/ITGA1|R","Ligand","Receptor","COL1A1|L","ITGA1|R","Stellate cell","Ductal cell type 2","Stellate cell@Ductal cell type 2","LR"
"2962",-0.1161589,"Fibroblast cell/COL16A1|L","Stellate cell/ITGA1|R","Fibroblast cell/COL16A1|L@Stellate cell/ITGA1|R","Ligand","Receptor","COL16A1|L","ITGA1|R","Fibroblast cell","Stellate cell","Fibroblast cell@Stellate cell","LR"
"2963",-0.11615631,"Ductal cell type 2/LGALS9|L","Fibroblast cell/COLEC12|R","Ductal cell type 2/LGALS9|L@Fibroblast cell/COLEC12|R","Ligand","Receptor","LGALS9|L","COLEC12|R","Ductal cell type 2","Fibroblast cell","Ductal cell type 2@Fibroblast cell","LR"
"2964",-0.1160804,"Ductal cell type 2/GRN|L","T cell/TNFRSF1B|R","Ductal cell type 2/GRN|L@T cell/TNFRSF1B|R","Ligand","Receptor","GRN|L","TNFRSF1B|R","Ductal cell type 2","T cell","Ductal cell type 2@T cell","LR"
"2965",-0.116049,"Endothelial cell/HSPG2|L","Endothelial cell/DAG1|R","Endothelial cell/HSPG2|L@Endothelial cell/DAG1|R","Ligand","Receptor","HSPG2|L","DAG1|R","Endothelial cell","Endothelial cell","Endothelial cell@Endothelial cell","LR"
"2966",-0.1159995,"Endocrine cell/APOE|L","Ductal cell type 2/LDLR|R","Endocrine cell/APOE|L@Ductal cell type 2/LDLR|R","Ligand","Receptor","APOE|L","LDLR|R","Endocrine cell","Ductal cell type 2","Endocrine cell@Ductal cell type 2","LR"
"2967",-0.1159724,"Endothelial cell/FBN1|L","Fibroblast cell/ITGB1|R","Endothelial cell/FBN1|L@Fibroblast cell/ITGB1|R","Ligand","Receptor","FBN1|L","ITGB1|R","Endothelial cell","Fibroblast cell","Endothelial cell@Fibroblast cell","LR"
"2968",-0.11596506,"Endothelial cell/COL4A2|L","Endothelial cell/ITGA3|R","Endothelial cell/COL4A2|L@Endothelial cell/ITGA3|R","Ligand","Receptor","COL4A2|L","ITGA3|R","Endothelial cell","Endothelial cell","Endothelial cell@Endothelial cell","LR"
"2969",-0.1159446,"Macrophage cell/FN1|L","Stellate cell/ITGAV|R","Macrophage cell/FN1|L@Stellate cell/ITGAV|R","Ligand","Receptor","FN1|L","ITGAV|R","Macrophage cell","Stellate cell","Macrophage cell@Stellate cell","LR"
"2970",-0.11581344,"Endocrine cell/ADAM17|L","Fibroblast cell/ITGB1|R","Endocrine cell/ADAM17|L@Fibroblast cell/ITGB1|R","Ligand","Receptor","ADAM17|L","ITGB1|R","Endocrine cell","Fibroblast cell","Endocrine cell@Fibroblast cell","LR"
"2971",-0.11576554,"Ductal cell type 1/COL18A1|L","Fibroblast cell/ITGA11|R","Ductal cell type 1/COL18A1|L@Fibroblast cell/ITGA11|R","Ligand","Receptor","COL18A1|L","ITGA11|R","Ductal cell type 1","Fibroblast cell","Ductal cell type 1@Fibroblast cell","LR"
"2972",-0.1156813,"Fibroblast cell/LUM|L","Ductal cell type 2/ITGB1|R","Fibroblast cell/LUM|L@Ductal cell type 2/ITGB1|R","Ligand","Receptor","LUM|L","ITGB1|R","Fibroblast cell","Ductal cell type 2","Fibroblast cell@Ductal cell type 2","LR"
"2973",-0.11567286,"Fibroblast cell/PLA2G2A|L","Ductal cell type 2/ERBB3|R","Fibroblast cell/PLA2G2A|L@Ductal cell type 2/ERBB3|R","Ligand","Receptor","PLA2G2A|L","ERBB3|R","Fibroblast cell","Ductal cell type 2","Fibroblast cell@Ductal cell type 2","LR"
"2974",-0.1156658,"Macrophage cell/ADAM17|L","Endothelial cell/ITGA5|R","Macrophage cell/ADAM17|L@Endothelial cell/ITGA5|R","Ligand","Receptor","ADAM17|L","ITGA5|R","Macrophage cell","Endothelial cell","Macrophage cell@Endothelial cell","LR"
"2975",-0.11547929,"Fibroblast cell/PLAU|L","Ductal cell type 1/ITGA5|R","Fibroblast cell/PLAU|L@Ductal cell type 1/ITGA5|R","Ligand","Receptor","PLAU|L","ITGA5|R","Fibroblast cell","Ductal cell type 1","Fibroblast cell@Ductal cell type 1","LR"
"2976",-0.1154322,"Stellate cell/COL1A1|L","Ductal cell type 1/ITGA2|R","Stellate cell/COL1A1|L@Ductal cell type 1/ITGA2|R","Ligand","Receptor","COL1A1|L","ITGA2|R","Stellate cell","Ductal cell type 1","Stellate cell@Ductal cell type 1","LR"
"2977",-0.1153923,"Ductal cell type 2/GRN|L","Stellate cell/SORT1|R","Ductal cell type 2/GRN|L@Stellate cell/SORT1|R","Ligand","Receptor","GRN|L","SORT1|R","Ductal cell type 2","Stellate cell","Ductal cell type 2@Stellate cell","LR"
"2978",-0.1153381,"Stellate cell/COL18A1|L","Ductal cell type 1/GPC4|R","Stellate cell/COL18A1|L@Ductal cell type 1/GPC4|R","Ligand","Receptor","COL18A1|L","GPC4|R","Stellate cell","Ductal cell type 1","Stellate cell@Ductal cell type 1","LR"
"2979",-0.1152984,"Stellate cell/COL4A2|L","Endothelial cell/CD93|R","Stellate cell/COL4A2|L@Endothelial cell/CD93|R","Ligand","Receptor","COL4A2|L","CD93|R","Stellate cell","Endothelial cell","Stellate cell@Endothelial cell","LR"
"2980",-0.11517655,"Stellate cell/FN1|L","Fibroblast cell/PLAUR|R","Stellate cell/FN1|L@Fibroblast cell/PLAUR|R","Ligand","Receptor","FN1|L","PLAUR|R","Stellate cell","Fibroblast cell","Stellate cell@Fibroblast cell","LR"
"2981",-0.1151418,"Endothelial cell/COL4A1|L","Endothelial cell/ITGA3|R","Endothelial cell/COL4A1|L@Endothelial cell/ITGA3|R","Ligand","Receptor","COL4A1|L","ITGA3|R","Endothelial cell","Endothelial cell","Endothelial cell@Endothelial cell","LR"
