,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
61,HLA-A,APLP2,Endothelial cell,Endothelial cell,2.06928,0.0,Ligand,Receptor,HLA-A,APLP2,2.06928
63,LGALS1,ITGB1,Stellate cell,Ductal cell type 1,2.0585144,0.0,Ligand,Receptor,LGALS1,ITGB1,2.0585144
64,INS,INSR,Endothelial cell,Endothelial cell,2.0567052,0.0,Ligand,Receptor,INS,INSR,2.0567052
66,MFGE8,PDGFRB,Stellate cell,Stellate cell,2.0517504,0.0,Ligand,Receptor,MFGE8,PDGFRB,2.0517504
67,APP,CD74,Acinar cell,Endothelial cell,2.04504,0.0,Ligand,Receptor,APP,CD74,2.04504
68,PRSS3,F2RL1,Acinar cell,Acinar cell,2.0440776,0.0,Ligand,Receptor,PRSS3,F2RL1,2.0440776
69,HLA-B,CANX,Endothelial cell,Ductal cell type 1,2.0432453,0.0,Ligand,Receptor,HLA-B,CANX,2.0432453
70,CXCL12,ITGB1,Fibroblast cell,Stellate cell,2.0396543,0.0,Ligand,Receptor,CXCL12,ITGB1,2.0396543
71,LUM,ITGB1,Fibroblast cell,Fibroblast cell,2.038699,0.0,Ligand,Receptor,LUM,ITGB1,2.038699
72,LUM,ITGB1,Fibroblast cell,Endothelial cell,2.0383182,0.0,Ligand,Receptor,LUM,ITGB1,2.0383182
73,CALM2,AQP1,Ductal cell type 1,Endothelial cell,2.037163,0.0,Ligand,Receptor,CALM2,AQP1,2.037163
74,APP,CD74,Stellate cell,Endothelial cell,2.0296097,0.0,Ligand,Receptor,APP,CD74,2.0296097
75,SERPING1,LRP1,Fibroblast cell,Fibroblast cell,2.0238476,0.0,Ligand,Receptor,SERPING1,LRP1,2.0238476
76,LGALS1,ITGB1,Stellate cell,Acinar cell,2.0228894,0.0,Ligand,Receptor,LGALS1,ITGB1,2.0228894
77,PRSS3,PARD3,Acinar cell,Ductal cell type 1,2.012125,0.0,Ligand,Receptor,PRSS3,PARD3,2.012125
78,PRSS3,F2R,Acinar cell,Endothelial cell,2.0118415,0.0,Ligand,Receptor,PRSS3,F2R,2.0118415
80,HLA-B,CANX,Endothelial cell,Endothelial cell,2.0073764,0.0,Ligand,Receptor,HLA-B,CANX,2.0073764
82,INS,INSR,Ductal cell type 1,Endothelial cell,1.9991388,0.0,Ligand,Receptor,INS,INSR,1.9991388
83,TIMP3,CD44,Endothelial cell,Ductal cell type 1,1.9962556,0.0,Ligand,Receptor,TIMP3,CD44,1.9962556
84,CALM2,MYLK,Stellate cell,Stellate cell,1.9930799,0.0,Ligand,Receptor,CALM2,MYLK,1.9930799
85,FABP5,RXRA,Endothelial cell,Ductal cell type 1,1.9896914,0.0,Ligand,Receptor,FABP5,RXRA,1.9896914
87,LGALS1,ITGB1,Fibroblast cell,Fibroblast cell,1.984725,0.001,Ligand,Receptor,LGALS1,ITGB1,1.984725
